;Time;Fy;Model
0;0,0;15,52;11,990223722915069
1;1,0;16,93;12,017602672478134
2;2,0;15,32;12,0449816220412
3;3,0;15,57;12,072360571604266
4;4,0;15,4;12,099739521167333
5;5,0;16,14;12,127118470730398
6;6,0;15,82;12,154497420293465
7;7,0;16,13;12,18187636985653
8;8,0;15,78;12,209255319419595
9;9,0;15,62;12,236634268982662
10;10,0;15,95;12,264013218545728
11;11,0;15,71;12,291392168108795
12;12,0;17,4;12,31877111767186
13;13,0;15,99;12,346150067234927
14;14,0;16,42;12,373529016797992
15;15,0;16,62;12,400907966361057
16;16,0;14,67;12,428286915924124
17;17,0;16,15;12,45566586548719
18;18,0;15,84;12,483044815050256
19;19,0;15,83;12,510423764613321
20;20,0;15,63;12,537802714176388
21;21,0;14,82;12,565181663739454
22;22,0;15,23;12,592560613302519
23;23,0;14,59;12,619939562865586
24;24,0;14,26;12,647318512428651
25;25,0;14,27;12,674697461991718
26;26,0;14,15;12,702076411554783
27;27,0;13,96;12,72945536111785
28;28,0;13,99;12,756834310680915
29;29,0;15,65;12,78421326024398
30;30,0;14,74;12,811592209807047
31;31,0;14,96;12,838971159370113
32;32,0;14,94;12,86635010893318
33;33,0;14,44;12,893729058496245
34;34,0;14,95;12,921108008059312
35;35,0;14,95;12,948486957622377
36;36,0;14,7;12,975865907185444
37;37,0;14,61;13,003244856748509
38;38,0;14,3;13,030623806311574
39;39,0;14,89;13,058002755874641
40;40,0;15,15;13,085381705437706
41;41,0;15,58;13,112760655000773
42;42,0;14,85;13,140139604563839
43;43,0;14,99;13,167518554126904
44;44,0;15,69;13,19489750368997
45;45,0;15,05;13,222276453253036
46;46,0;14,55;13,249655402816103
47;47,0;14,64;13,277034352379168
48;48,0;14,66;13,304413301942235
49;49,0;15,07;13,3317922515053
50;50,0;14,63;13,359171201068367
51;51,0;15,25;13,386550150631432
52;52,0;14,81;13,413929100194498
53;53,0;15,07;13,441308049757565
54;54,0;15,18;13,46868699932063
55;55,0;14,86;13,496065948883697
56;56,0;15,63;13,523444898446762
57;57,0;14,88;13,550823848009827
58;58,0;15,26;13,578202797572894
59;59,0;15,33;13,60558174713596
60;60,0;15,24;13,632960696699026
61;61,0;15,63;13,660339646262091
62;62,0;15,2;13,687718595825158
63;63,0;14,97;13,715097545388224
64;64,0;14,57;13,74247649495129
65;65,0;15,44;13,769855444514356
66;66,0;14,58;13,797234394077421
67;67,0;15,23;13,824613343640488
68;68,0;15,75;13,851992293203553
69;69,0;16,36;13,87937124276662
70;70,0;16,91;13,906750192329685
71;71,0;16,51;13,93412914189275
72;72,0;15,97;13,961508091455817
73;73,0;15,81;13,988887041018883
74;74,0;15,14;14,01626599058195
75;75,0;16,14;14,043644940145015
76;76,0;16,12;14,071023889708082
77;77,0;15,49;14,098402839271147
78;78,0;15,2;14,125781788834214
79;79,0;15,15;14,153160738397279
80;80,0;15,23;14,180539687960344
81;81,0;15,44;14,207918637523411
82;82,0;14,63;14,235297587086476
83;83,0;15,23;14,262676536649543
84;84,0;14,37;14,290055486212609
85;85,0;14,67;14,317434435775674
86;86,0;15,52;14,34481338533874
87;87,0;14,52;14,372192334901808
88;88,0;14,83;14,399571284464873
89;89,0;15,35;14,426950234027938
90;90,0;14,99;14,454329183591005
91;91,0;14,67;14,48170813315407
92;92,0;14,33;14,509087082717137
93;93,0;14,53;14,536466032280202
94;94,0;14,97;14,563844981843268
95;95,0;14,74;14,591223931406335
96;96,0;15,07;14,6186028809694
97;97,0;14,45;14,645981830532467
98;98,0;15,09;14,673360780095532
99;99,0;14,12;14,700739729658597
100;100,0;15,09;14,728118679221664
101;101,0;15,07;14,755497628784731
102;102,0;14,4;14,782876578347796
103;103,0;15,4;14,810255527910861
104;104,0;14,68;14,837634477473928
105;105,0;15,78;14,865013427036994
106;106,0;14,45;14,89239237660006
107;107,0;14,91;14,919771326163126
108;108,0;14,99;14,947150275726191
109;109,0;15,2;14,974529225289258
110;110,0;14,97;15,001908174852323
111;111,0;15,15;15,02928712441539
112;112,0;15,37;15,056666073978455
113;113,0;14,71;15,08404502354152
114;114,0;15,09;15,111423973104587
115;115,0;15,21;15,138802922667654
116;116,0;14,87;15,16618187223072
117;117,0;15,21;15,193560821793785
118;118,0;15,17;15,220939771356852
119;119,0;15,02;15,248318720919917
120;120,0;16,65;15,275697670482984
121;121,0;16,24;15,303076620046049
122;122,0;15,85;15,330455569609114
123;123,0;16,47;15,357834519172181
124;124,0;16,24;15,385213468735246
125;125,0;16,0;15,412592418298313
126;126,0;16,0;15,439971367861379
127;127,0;15,58;15,467350317424444
128;128,0;16,33;15,49472926698751
129;129,0;16,2;15,522108216550578
130;130,0;16,31;15,549487166113643
131;131,0;16,27;15,576866115676708
132;132,0;15,7;15,604245065239775
133;133,0;16,61;15,63162401480284
134;134,0;16,06;15,659002964365907
135;135,0;15,68;15,686381913928972
136;136,0;15,93;15,713760863492038
137;137,0;17,04;15,741139813055105
138;138,0;15,99;15,76851876261817
139;139,0;17,14;15,795897712181237
140;140,0;17,59;15,823276661744302
141;141,0;17,74;15,850655611307367
142;142,0;17,01;15,878034560870434
143;143,0;17,06;15,905413510433501
144;144,0;16,72;15,932792459996566
145;145,0;16,24;15,960171409559631
146;146,0;16,71;15,987550359122698
147;147,0;16,55;16,014929308685765
148;148,0;16,81;16,04230825824883
149;149,0;16,43;16,069687207811896
150;150,0;16,96;16,09706615737496
151;151,0;17,59;16,124445106938026
152;152,0;16,09;16,151824056501095
153;153,0;16,45;16,17920300606416
154;154,0;16,24;16,206581955627225
155;155,0;17,17;16,23396090519029
156;156,0;16,44;16,26133985475336
157;157,0;16,61;16,288718804316424
158;158,0;16,99;16,31609775387949
159;159,0;17,31;16,343476703442555
160;160,0;16,88;16,37085565300562
161;161,0;15,91;16,398234602568685
162;162,0;15,86;16,425613552131754
163;163,0;16,52;16,45299250169482
164;164,0;16,58;16,480371451257884
165;165,0;16,98;16,507750400820953
166;166,0;16,27;16,535129350384018
167;167,0;16,39;16,562508299947083
168;168,0;16,7;16,58988724951015
169;169,0;16,57;16,617266199073214
170;170,0;16,33;16,64464514863628
171;171,0;16,69;16,672024098199348
172;172,0;16,39;16,699403047762413
173;173,0;16,8;16,726781997325478
174;174,0;17,21;16,754160946888547
175;175,0;16,93;16,781539896451612
176;176,0;16,23;16,808918846014677
177;177,0;16,75;16,836297795577742
178;178,0;16,98;16,863676745140808
179;179,0;16,88;16,891055694703873
180;180,0;16,78;16,91843464426694
181;181,0;16,78;16,945813593830007
182;182,0;16,36;16,973192543393072
183;183,0;16,78;17,000571492956137
184;184,0;16,67;17,027950442519206
185;185,0;16,65;17,05532939208227
186;186,0;17,28;17,082708341645336
187;187,0;17,24;17,1100872912084
188;188,0;17,0;17,137466240771467
189;189,0;16,14;17,164845190334532
190;190,0;16,4;17,1922241398976
191;191,0;16,86;17,219603089460666
192;192,0;16,92;17,24698203902373
193;193,0;17,64;17,2743609885868
194;194,0;16,67;17,301739938149865
195;195,0;16,64;17,32911888771293
196;196,0;16,1;17,356497837275995
197;197,0;16,62;17,38387678683906
198;198,0;17,55;17,411255736402126
199;199,0;16,62;17,438634685965194
200;200,0;17,59;17,46601363552826
201;201,0;17,03;17,493392585091325
202;202,0;17,08;17,520771534654394
203;203,0;16,2;17,54815048421746
204;204,0;16,97;17,575529433780524
205;205,0;17,33;17,60290838334359
206;206,0;17,54;17,630287332906654
207;207,0;17,53;17,65766628246972
208;208,0;17,45;17,685045232032788
209;209,0;19,02;17,712424181595853
210;210,0;19,84;17,73980313115892
211;211,0;19,68;17,767182080721984
212;212,0;18,29;17,794561030285053
213;213,0;17,54;17,821939979848118
214;214,0;18,03;17,849318929411183
215;215,0;18,23;17,876697878974248
216;216,0;18,06;17,904076828537313
217;217,0;18,96;17,93145577810038
218;218,0;17,27;17,958834727663447
219;219,0;18,03;17,986213677226512
220;220,0;17,78;18,013592626789578
221;221,0;17,97;18,040971576352646
222;222,0;17,09;18,06835052591571
223;223,0;17,25;18,095729475478777
224;224,0;17,42;18,123108425041842
225;225,0;17,89;18,150487374604907
226;226,0;18,02;18,177866324167972
227;227,0;17,09;18,20524527373104
228;228,0;17,78;18,232624223294106
229;229,0;17,67;18,26000317285717
230;230,0;18,06;18,28738212242024
231;231,0;17,34;18,314761071983305
232;232,0;18,0;18,34214002154637
233;233,0;17,6;18,369518971109436
234;234,0;18,45;18,3968979206725
235;235,0;17,74;18,424276870235566
236;236,0;18,27;18,451655819798635
237;237,0;17,73;18,4790347693617
238;238,0;17,78;18,506413718924765
239;239,0;17,56;18,53379266848783
240;240,0;17,93;18,5611716180509
241;241,0;18,36;18,588550567613964
242;242,0;17,38;18,61592951717703
243;243,0;18,69;18,643308466740095
244;244,0;18,36;18,67068741630316
245;245,0;18,34;18,69806636586623
246;246,0;18,92;18,725445315429294
247;247,0;17,88;18,75282426499236
248;248,0;18,89;18,780203214555424
249;249,0;17,85;18,807582164118493
250;250,0;18,34;18,83496111368156
251;251,0;18,57;18,862340063244623
252;252,0;18,08;18,88971901280769
253;253,0;18,31;18,917097962370754
254;254,0;18,98;18,94447691193382
255;255,0;18,31;18,971855861496888
256;256,0;18,41;18,999234811059953
257;257,0;19,32;19,026613760623018
258;258,0;18,49;19,053992710186087
259;259,0;19,07;19,081371659749152
260;260,0;17,74;19,108750609312217
261;261,0;19,02;19,136129558875282
262;262,0;18,68;19,163508508438348
263;263,0;18,81;19,190887458001413
264;264,0;18,05;19,21826640756448
265;265,0;19,17;19,245645357127547
266;266,0;19,29;19,273024306690612
267;267,0;19,13;19,300403256253677
268;268,0;18,98;19,327782205816746
269;269,0;19,22;19,35516115537981
270;270,0;18,99;19,382540104942876
271;271,0;18,71;19,40991905450594
272;272,0;18,66;19,437298004069007
273;273,0;18,74;19,464676953632075
274;274,0;19,67;19,49205590319514
275;275,0;19,74;19,519434852758206
276;276,0;19,64;19,54681380232127
277;277,0;19,2;19,57419275188434
278;278,0;19,06;19,601571701447405
279;279,0;20,03;19,62895065101047
280;280,0;18,28;19,656329600573535
281;281,0;20,71;19,6837085501366
282;282,0;21,48;19,711087499699666
283;283,0;21,18;19,738466449262734
284;284,0;19,34;19,7658453988258
285;285,0;18,8;19,793224348388865
286;286,0;19,18;19,820603297951934
287;287,0;18,83;19,847982247515
288;288,0;19,29;19,875361197078064
289;289,0;18,26;19,90274014664113
290;290,0;19,2;19,930119096204194
291;291,0;18,92;19,95749804576726
292;292,0;19,98;19,98487699533033
293;293,0;19,47;20,012255944893393
294;294,0;19,21;20,03963489445646
295;295,0;18,69;20,067013844019527
296;296,0;20,08;20,094392793582593
297;297,0;20,02;20,121771743145658
298;298,0;19,64;20,149150692708723
299;299,0;19,03;20,176529642271788
300;300,0;19,93;20,203908591834853
301;301,0;20,01;20,23128754139792
302;302,0;19,62;20,258666490960987
303;303,0;19,62;20,286045440524052
304;304,0;19,51;20,31342439008712
305;305,0;19,93;20,340803339650186
306;306,0;19,52;20,36818228921325
307;307,0;19,62;20,395561238776317
308;308,0;19,44;20,422940188339382
309;309,0;19,59;20,450319137902447
310;310,0;19,86;20,477698087465512
311;311,0;20,2;20,50507703702858
312;312,0;19,92;20,532455986591646
313;313,0;19,15;20,55983493615471
314;314,0;20,33;20,58721388571778
315;315,0;20,5;20,614592835280845
316;316,0;19,97;20,64197178484391
317;317,0;20,27;20,669350734406976
318;318,0;20,3;20,69672968397004
319;319,0;21,32;20,724108633533106
320;320,0;20,88;20,751487583096175
321;321,0;20,79;20,77886653265924
322;322,0;20,55;20,806245482222305
323;323,0;19,82;20,833624431785374
324;324,0;20,31;20,86100338134844
325;325,0;20,53;20,888382330911504
326;326,0;21,19;20,91576128047457
327;327,0;20,48;20,943140230037635
328;328,0;20,77;20,9705191796007
329;329,0;20,65;20,997898129163765
330;330,0;21,01;21,025277078726834
331;331,0;20,85;21,0526560282899
332;332,0;20,4;21,080034977852968
333;333,0;21,39;21,107413927416033
334;334,0;21,28;21,1347928769791
335;335,0;20,92;21,162171826542163
336;336,0;20,73;21,18955077610523
337;337,0;22,4;21,216929725668294
338;338,0;21,89;21,24430867523136
339;339,0;21,04;21,271687624794428
340;340,0;21,82;21,299066574357493
341;341,0;20,78;21,32644552392056
342;342,0;21,23;21,353824473483627
343;343,0;21,76;21,381203423046692
344;344,0;21,57;21,408582372609757
345;345,0;21,84;21,435961322172822
346;346,0;21,78;21,463340271735888
347;347,0;21,63;21,490719221298953
348;348,0;21,16;21,51809817086202
349;349,0;21,88;21,545477120425087
350;350,0;21,02;21,572856069988152
351;351,0;21,32;21,60023501955122
352;352,0;21,29;21,627613969114286
353;353,0;21,98;21,65499291867735
354;354,0;21,68;21,682371868240416
355;355,0;22,21;21,70975081780348
356;356,0;21,73;21,737129767366547
357;357,0;21,83;21,764508716929612
358;358,0;22,75;21,79188766649268
359;359,0;22,2;21,819266616055746
360;360,0;22,22;21,846645565618815
361;361,0;21,9;21,87402451518188
362;362,0;21,11;21,901403464744945
363;363,0;21,49;21,92878241430801
364;364,0;22,32;21,956161363871075
365;365,0;22,05;21,98354031343414
366;366,0;21,44;22,010919262997206
367;367,0;21,99;22,038298212560274
368;368,0;22,09;22,06567716212334
369;369,0;21,91;22,09305611168641
370;370,0;22,33;22,120435061249474
371;371,0;21,85;22,14781401081254
372;372,0;22,95;22,175192960375604
373;373,0;22,3;22,20257190993867
374;374,0;22,57;22,229950859501734
375;375,0;22,26;22,2573298090648
376;376,0;21,81;22,28470875862787
377;377,0;22,57;22,312087708190933
378;378,0;22,01;22,339466657754
379;379,0;21,67;22,366845607317067
380;380,0;22,94;22,394224556880133
381;381,0;21,68;22,421603506443198
382;382,0;22,43;22,448982456006263
383;383,0;22,07;22,476361405569328
384;384,0;23,21;22,503740355132393
385;385,0;22,0;22,53111930469546
386;386,0;22,97;22,558498254258527
387;387,0;22,65;22,585877203821592
388;388,0;23,18;22,61325615338466
389;389,0;23,33;22,640635102947726
390;390,0;23,1;22,66801405251079
391;391,0;22,11;22,695393002073857
392;392,0;23,58;22,722771951636922
393;393,0;22,95;22,750150901199987
394;394,0;23,37;22,777529850763052
395;395,0;24,22;22,80490880032612
396;396,0;23,24;22,832287749889186
397;397,0;23,76;22,859666699452255
398;398,0;23,82;22,88704564901532
399;399,0;23,25;22,914424598578385
400;400,0;23,89;22,94180354814145
401;401,0;22,69;22,969182497704516
402;402,0;23,8;22,99656144726758
403;403,0;23,11;23,023940396830646
404;404,0;23,02;23,051319346393715
405;405,0;23,76;23,07869829595678
406;406,0;23,01;23,106077245519845
407;407,0;23,3;23,133456195082914
408;408,0;23,39;23,16083514464598
409;409,0;23,71;23,188214094209044
410;410,0;23,92;23,21559304377211
411;411,0;23,94;23,242971993335175
412;412,0;23,72;23,27035094289824
413;413,0;24,37;23,297729892461305
414;414,0;24,55;23,325108842024374
415;415,0;23,13;23,35248779158744
416;416,0;24,25;23,379866741150508
417;417,0;24,14;23,407245690713573
418;418,0;22,87;23,43462464027664
419;419,0;23,4;23,462003589839703
420;420,0;24,05;23,48938253940277
421;421,0;23,51;23,516761488965834
422;422,0;25,18;23,5441404385289
423;423,0;23,85;23,571519388091968
424;424,0;24,86;23,598898337655033
425;425,0;23,91;23,6262772872181
426;426,0;23,63;23,653656236781167
427;427,0;24,44;23,681035186344232
428;428,0;23,28;23,708414135907297
429;429,0;21,2;23,735793085470362
430;430,0;24,23;23,763172035033428
431;431,0;22,29;23,790550984596493
432;432,0;21,54;23,81792993415956
433;433,0;21,47;23,845308883722627
434;434,0;22,42;23,872687833285692
435;435,0;22,74;23,90006678284876
436;436,0;22,92;23,927445732411826
437;437,0;22,05;23,95482468197489
438;438,0;22,27;23,982203631537956
439;439,0;22,52;24,00958258110102
440;440,0;23,02;24,036961530664087
441;441,0;22,56;24,064340480227152
442;442,0;22,46;24,09171942979022
443;443,0;22,29;24,119098379353286
444;444,0;23,06;24,146477328916355
445;445,0;23,37;24,17385627847942
446;446,0;22,64;24,201235228042485
447;447,0;23,31;24,22861417760555
448;448,0;22,49;24,255993127168615
449;449,0;23,55;24,28337207673168
450;450,0;23,26;24,310751026294746
451;451,0;23,41;24,338129975857814
452;452,0;22,97;24,36550892542088
453;453,0;23,14;24,39288787498395
454;454,0;22,92;24,420266824547014
455;455,0;23,7;24,44764577411008
456;456,0;22,82;24,475024723673144
457;457,0;23,54;24,50240367323621
458;458,0;23,34;24,529782622799274
459;459,0;23,68;24,55716157236234
460;460,0;23,24;24,58454052192541
461;461,0;24,49;24,611919471488473
462;462,0;23,06;24,639298421051542
463;463,0;23,93;24,666677370614607
464;464,0;23,65;24,694056320177673
465;465,0;23,86;24,721435269740738
466;466,0;23,29;24,748814219303803
467;467,0;24,27;24,776193168866868
468;468,0;23,95;24,803572118429933
469;469,0;23,36;24,830951067993002
470;470,0;24,27;24,858330017556067
471;471,0;24,46;24,885708967119132
472;472,0;24,38;24,9130879166822
473;473,0;23,97;24,940466866245266
474;474,0;23,79;24,96784581580833
475;475,0;24,93;24,995224765371397
476;476,0;24,03;25,022603714934462
477;477,0;24,7;25,049982664497527
478;478,0;24,77;25,077361614060592
479;479,0;24,96;25,10474056362366
480;480,0;24,4;25,132119513186726
481;481,0;25,47;25,159498462749795
482;482,0;24,53;25,18687741231286
483;483,0;23,96;25,214256361875925
484;484,0;24,61;25,24163531143899
485;485,0;24,77;25,269014261002056
486;486,0;23,92;25,29639321056512
487;487,0;24,34;25,323772160128186
488;488,0;24,74;25,351151109691255
489;489,0;24,77;25,37853005925432
490;490,0;24,38;25,40590900881739
491;491,0;24,43;25,433287958380454
492;492,0;24,18;25,46066690794352
493;493,0;24,61;25,488045857506584
494;494,0;24,42;25,51542480706965
495;495,0;24,91;25,542803756632715
496;496,0;25,14;25,57018270619578
497;497,0;24,08;25,59756165575885
498;498,0;22,86;25,624940605321914
499;499,0;25,54;25,65231955488498
500;500,0;25,14;25,679698504448048
501;501,0;25,94;25,707077454011113
502;502,0;25,29;25,73445640357418
503;503,0;24,57;25,761835353137243
504;504,0;25,82;25,78921430270031
505;505,0;25,65;25,816593252263374
506;506,0;25,77;25,84397220182644
507;507,0;25,54;25,871351151389508
508;508,0;26,66;25,898730100952573
509;509,0;25,3;25,92610905051564
510;510,0;26,35;25,953488000078707
511;511,0;25,38;25,980866949641772
512;512,0;27,06;26,008245899204837
513;513,0;25,7;26,035624848767903
514;514,0;26,92;26,063003798330968
515;515,0;25,13;26,090382747894033
516;516,0;25,98;26,1177616974571
517;517,0;25,77;26,145140647020167
518;518,0;26,53;26,172519596583236
519;519,0;25,9;26,1998985461463
520;520,0;26,71;26,227277495709366
521;521,0;26,6;26,25465644527243
522;522,0;26,8;26,282035394835496
523;523,0;27,37;26,30941434439856
524;524,0;26,28;26,336793293961627
525;525,0;27,44;26,364172243524695
526;526,0;26,35;26,39155119308776
527;527,0;27,34;26,418930142650826
528;528,0;26,39;26,446309092213895
529;529,0;26,9;26,47368804177696
530;530,0;25,89;26,501066991340025
531;531,0;27,91;26,52844594090309
532;532,0;27,45;26,555824890466155
533;533,0;27,42;26,58320384002922
534;534,0;26,43;26,610582789592286
535;535,0;28,32;26,637961739155354
536;536,0;27,65;26,66534068871842
537;537,0;27,91;26,69271963828149
538;538,0;27,31;26,720098587844554
539;539,0;27,26;26,74747753740762
540;540,0;27,85;26,774856486970684
541;541,0;27,75;26,80223543653375
542;542,0;28,78;26,829614386096814
543;543,0;27,33;26,85699333565988
544;544,0;26,75;26,88437228522295
545;545,0;28,16;26,911751234786013
546;546,0;28,76;26,939130184349082
547;547,0;27,5;26,966509133912147
548;548,0;28,08;26,993888083475213
549;549,0;27,92;27,021267033038278
550;550,0;28,63;27,048645982601343
551;551,0;28,72;27,076024932164408
552;552,0;28,02;27,103403881727473
553;553,0;27,08;27,130782831290542
554;554,0;28,28;27,158161780853607
555;555,0;27,9;27,185540730416673
556;556,0;28,59;27,21291967997974
557;557,0;28,58;27,240298629542806
558;558,0;28,47;27,26767757910587
559;559,0;27,94;27,295056528668937
560;560,0;29,09;27,322435478232002
561;561,0;28,51;27,349814427795067
562;562,0;29,04;27,377193377358132
563;563,0;28,15;27,4045723269212
564;564,0;28,74;27,431951276484266
565;565,0;27,68;27,459330226047335
566;566,0;28,64;27,4867091756104
567;567,0;28,33;27,514088125173465
568;568,0;29,53;27,54146707473653
569;569,0;25,97;27,568846024299596
570;570,0;22,59;27,59622497386266
571;571,0;26,85;27,623603923425726
572;572,0;26,97;27,650982872988795
573;573,0;27,56;27,67836182255186
574;574,0;27,47;27,70574077211493
575;575,0;27,06;27,733119721677994
576;576,0;26,25;27,76049867124106
577;577,0;27,51;27,787877620804124
578;578,0;27,08;27,81525657036719
579;579,0;27,47;27,842635519930255
580;580,0;28,2;27,87001446949332
581;581,0;28,54;27,89739341905639
582;582,0;29,64;27,924772368619454
583;583,0;27,88;27,952151318182523
584;584,0;27,6;27,979530267745588
585;585,0;26,39;28,006909217308653
586;586,0;27,84;28,03428816687172
587;587,0;28,28;28,061667116434784
588;588,0;27,74;28,08904606599785
589;589,0;27,88;28,116425015560917
590;590,0;28,47;28,143803965123983
591;591,0;29,69;28,171182914687048
592;592,0;27,83;28,198561864250113
593;593,0;28,51;28,225940813813178
594;594,0;27,68;28,253319763376247
595;595,0;29,81;28,280698712939312
596;596,0;27,85;28,308077662502377
597;597,0;28,88;28,335456612065443
598;598,0;28,94;28,362835561628508
599;599,0;29,95;28,390214511191576
600;600,0;29,15;28,41759346075464
601;601,0;29,59;28,444972410317707
602;602,0;29,59;28,472351359880772
603;603,0;30,21;28,49973030944384
604;604,0;28,75;28,527109259006906
605;605,0;29,36;28,55448820856997
606;606,0;28,18;28,581867158133036
607;607,0;30,2;28,6092461076961
608;608,0;30,12;28,63662505725917
609;609,0;30,09;28,664004006822235
610;610,0;29,13;28,6913829563853
611;611,0;29,73;28,718761905948366
612;612,0;29,4;28,74614085551143
613;613,0;30,86;28,7735198050745
614;614,0;30,0;28,800898754637565
615;615,0;29,48;28,82827770420063
616;616,0;29,9;28,855656653763695
617;617,0;29,7;28,883035603326764
618;618,0;29,98;28,91041455288983
619;619,0;28,25;28,937793502452895
620;620,0;30,13;28,96517245201596
621;621,0;31,04;28,992551401579025
622;622,0;29,68;29,019930351142094
623;623,0;30,21;29,04730930070516
624;624,0;29,86;29,074688250268224
625;625,0;30,27;29,10206719983129
626;626,0;30,44;29,129446149394354
627;627,0;29,73;29,156825098957423
628;628,0;30,16;29,18420404852049
629;629,0;28,82;29,211582998083554
630;630,0;30,31;29,23896194764662
631;631,0;30,0;29,266340897209687
632;632,0;29,58;29,293719846772753
633;633,0;29,46;29,321098796335818
634;634,0;28,92;29,348477745898883
635;635,0;30,06;29,375856695461948
636;636,0;28,8;29,403235645025017
637;637,0;29,9;29,430614594588082
638;638,0;30,14;29,457993544151147
639;639,0;30,06;29,485372493714213
640;640,0;30,05;29,51275144327728
641;641,0;30,23;29,540130392840346
642;642,0;29,44;29,56750934240341
643;643,0;24,56;29,594888291966477
644;644,0;26,53;29,622267241529542
645;645,0;27,41;29,64964619109261
646;646,0;27,14;29,677025140655676
647;647,0;28,55;29,70440409021874
648;648,0;28,28;29,731783039781806
649;649,0;28,5;29,75916198934487
650;650,0;27,99;29,78654093890794
651;651,0;29,57;29,813919888471005
652;652,0;28,61;29,84129883803407
653;653,0;29,73;29,868677787597136
654;654,0;29,37;29,896056737160205
655;655,0;30,09;29,92343568672327
656;656,0;29,06;29,950814636286335
657;657,0;29,52;29,9781935858494
658;658,0;29,13;30,005572535412465
659;659,0;30,15;30,032951484975534
660;660,0;28,91;30,0603304345386
661;661,0;29,7;30,087709384101665
662;662,0;28,67;30,11508833366473
663;663,0;30,15;30,142467283227795
664;664,0;30,05;30,169846232790864
665;665,0;29,52;30,19722518235393
666;666,0;29,85;30,224604131916994
667;667,0;30,28;30,25198308148006
668;668,0;31,03;30,279362031043128
669;669,0;29,06;30,306740980606193
670;670,0;30,07;30,33411993016926
671;671,0;29,5;30,361498879732324
672;672,0;31,67;30,38887782929539
673;673,0;30,01;30,416256778858457
674;674,0;30,6;30,443635728421523
675;675,0;31,04;30,471014677984588
676;676,0;29,95;30,498393627547653
677;677,0;31,64;30,52577257711072
678;678,0;30,02;30,553151526673787
679;679,0;31,18;30,580530476236852
680;680,0;31,01;30,607909425799917
681;681,0;32,53;30,635288375362983
682;682,0;30,43;30,66266732492605
683;683,0;30,91;30,690046274489116
684;684,0;30,61;30,71742522405218
685;685,0;30,73;30,744804173615247
686;686,0;31,66;30,772183123178312
687;687,0;29,86;30,79956207274138
688;688,0;30,1;30,826941022304446
689;689,0;30,92;30,85431997186751
690;690,0;32,07;30,881698921430576
691;691,0;30,55;30,90907787099364
692;692,0;31,66;30,93645682055671
693;693,0;30,64;30,963835770119776
694;694,0;31,06;30,99121471968284
695;695,0;31,0;31,018593669245906
696;696,0;30,84;31,045972618808975
697;697,0;30,53;31,07335156837204
698;698,0;30,48;31,100730517935105
699;699,0;31,99;31,12810946749817
700;700,0;31,2;31,155488417061235
701;701,0;31,74;31,182867366624304
702;702,0;30,06;31,21024631618737
703;703,0;31,3;31,237625265750435
704;704,0;31,01;31,2650042153135
705;705,0;32,39;31,292383164876565
706;706,0;30,73;31,319762114439634
707;707,0;31,29;31,3471410640027
708;708,0;31,58;31,374520013565764
709;709,0;32,04;31,40189896312883
710;710,0;31,68;31,429277912691898
711;711,0;31,51;31,456656862254963
712;712,0;32,42;31,48403581181803
713;713,0;31,44;31,511414761381094
714;714,0;30,92;31,53879371094416
715;715,0;31,53;31,566172660507227
716;716,0;32,38;31,593551610070293
717;717,0;31,82;31,620930559633358
718;718,0;31,23;31,648309509196423
